"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.07.2024","124.718","123.905","125.220","123.735","8,23M","0,65%"
"28.06.2024","123.907","124.308","124.500","123.298","9,07M","-0,32%"
"27.06.2024","124.308","122.642","124.308","122.642","8,71M","1,36%"
"26.06.2024","122.641","122.331","122.701","121.402","8,18M","0,25%"
"25.06.2024","122.331","122.634","122.849","121.997","6,94M","-0,25%"
"24.06.2024","122.637","121.343","122.840","121.307","7,84M","1,07%"
"21.06.2024","121.341","120.446","121.580","120.061","12,91M","0,74%"
"20.06.2024","120.446","120.267","121.607","120.156","8,66M","0,15%"
"19.06.2024","120.261","119.630","120.383","118.960","5,65M","0,53%"
"18.06.2024","119.630","119.138","120.109","118.872","8,10M","0,41%"
"17.06.2024","119.138","119.663","119.663","118.685","7,38M","-0,44%"
"14.06.2024","119.662","119.558","120.214","118.828","7,85M","0,08%"
"13.06.2024","119.568","119.936","120.222","119.171","8,54M","-0,31%"
"12.06.2024","119.936","121.644","122.483","119.544","11,28M","-1,40%"
"11.06.2024","121.635","120.760","121.759","120.757","7,49M","0,73%"
"10.06.2024","120.760","120.769","121.421","120.540","6,57M","-0,01%"
"07.06.2024","120.767","122.899","122.899","120.679","9,80M","-1,73%"
"06.06.2024","122.899","121.408","123.246","121.377","8,40M","1,23%"
"05.06.2024","121.407","121.803","122.170","121.253","8,77M","-0,32%"
"04.06.2024","121.802","122.032","122.032","120.878","8,53M","-0,19%"
"03.06.2024","122.032","122.100","122.495","121.496","8,43M","-0,05%"
"31.05.2024","122.098","122.704","122.837","121.929","15,92M","-0,50%"
"29.05.2024","122.707","123.780","123.780","122.458","8,26M","-0,87%"
"28.05.2024","123.780","124.498","125.392","123.537","9,18M","-0,58%"
"27.05.2024","124.496","124.297","124.535","124.081","4,33M","0,15%"
"24.05.2024","124.306","124.731","125.257","124.259","9,21M","-0,34%"
"23.05.2024","124.729","125.650","125.665","124.431","9,99M","-0,73%"
"22.05.2024","125.650","127.412","127.412","125.524","12,40M","-1,38%"
"21.05.2024","127.412","127.754","128.272","127.205","9,14M","-0,27%"
"20.05.2024","127.751","128.151","128.730","127.488","9,34M","-0,31%"
"17.05.2024","128.151","128.280","128.464","127.696","10,26M","-0,10%"
"16.05.2024","128.284","128.029","128.965","127.922","9,86M","0,20%"
"15.05.2024","128.028","128.514","128.646","127.029","10,86M","-0,38%"
"14.05.2024","128.515","128.155","128.965","127.962","11,89M","0,28%"
"13.05.2024","128.155","127.600","128.669","127.599","8,92M","0,44%"
